suite,size,value_ms
e2e_rtt,16,0.3924369812011719
e2e_rtt,128,0.8020401000976562
e2e_rtt,1024,2.1932125091552734
e2e_rtt,4096,3.212451934814453
e2e_rtt,16384,5.272150039672852
